ID	NAME	ISO	CLASSIFICATION	VARIETY	SIZE	LINK2SOURCE
kpt_Tokitin	Karata (Tokitin)	kpt	North Caucasian,East Caucasian,Avar-Andic,Andic	Tokitin	1458	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=40
kpt_std	Karata	kpt	North Caucasian,East Caucasian,Avar-Andic,Andic	std	1410	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=39
kpv_std	Komi-Zyrian	kpv	Uralic,Permian,Komi	std	1739	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=1
kum_std	Kumyk	kum	Altaic,Turkic,Western,Ponto-Caspian	std	1761	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=72
kuz_std	Kunza	kuz	unknown	std	876	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=308
kva_std	Bagvalal	kva	North Caucasian,East Caucasian,Avar-Andic,Andic	std	1496	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=1
kyh_std	Karok	kyh	Hokan,Northern,Karok-Shasta	std	830	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=224
lav_std	Latvian	lav	Indo-European,Baltic,Eastern	std	1646	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=197
lbe_std	Lak	lbe	North Caucasian,East Caucasian,Lak	std	1439	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=56
leg_std	Lengua	leg	Mascoian	std	1090	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=300
lez_Kuba	Lezgi (Kuba)	lez	North Caucasian,East Caucasian,Lezgic,Nuclear Lezgic,East Lezgic	Kuba	1238	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=165
lez_Mikrakh	Lezgi (Mikrakh)	lez	North Caucasian,East Caucasian,Lezgic,Nuclear Lezgic,East Lezgic	Mikrakh	1387	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=65
lez_std	Lezgi	lez	North Caucasian,East Caucasian,Lezgic,Nuclear Lezgic,East Lezgic	std	1815	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=64
lit_std	Lithuanian	lit	Indo-European,Baltic,Eastern	std	1863	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=196
mar_std	Marathi	mar	Indo-European,Indo-Iranian,Indo-Aryan,Southernzone,Marathi	std	1538	http://spraakbanken.gu.se/eng/research/digital-areal-linguistics/word-lists
mbc_std	Macushi	mbc	Carib,Northern,East-West Guiana,Macushi-Kapon,Macushi	std	914	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=173
mca_std	Maka	mca	Mataco-Guaicuru,Mataco	std	1036	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=305
mcq_Huarayo	Ese (Huarayo)	mcq	Trans-New Guinea,Southeast Papuan,Koiarian,Baraic	Huarayo	705	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=1
mcq_std	Ese	mcq	Trans-New Guinea,Southeast Papuan,Koiarian,Baraic	std	952	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=1
mhr_std	Mari, Meadow	mhr	Uralic,Mari	std	1523	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=1
mns_std	Mansi	mns	Uralic	std	1445	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=146
moc_std	Mocoví	moc	Mataco-Guaicuru,Guaicuruan	std	1163	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=301
mri_std	Maori	mri	Austronesian,Malayo-Polynesian,Central-Eastern,Eastern Malayo-Polynesian,Oceanic,Central-Eastern Oceanic,Remote Oceanic,Central Pacific,East Fijian-Polynesian,Polynesian,Nuclear,East,Central,Tahitic	std	2122	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=236
mrq_std	Marquesan, North	mrq	Austronesian,Malayo-Polynesian,Central-Eastern,Eastern Malayo-Polynesian,Oceanic,Central-Eastern Oceanic,Remote Oceanic,Central Pacific,East Fijian-Polynesian,Polynesian,Nuclear,East,Central,Marquesic	std	1223	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=1
mww_std	Miao, White	mww	Hmong-Mien,Hmongic,Chuanqiandian	std	1344	http://wold.livingsources.org/vocabulary/25
myv_std	Erzya	myv	Uralic,Mordvin	std	1355	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=126
mzh_std	Wichí Lhamtés Güisnay	mzh	Mataco-Guaicuru,Mataco	std	1215	http://wold.livingsources.org/vocabulary/40
mzp_std	Movima	mzp	unknown	std	939	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=285
nld_std	Dutch	nld	Indo-European,Germanic,West,Low Saxon-Low Franconian,Low Franconian	std	1702	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=191
nmm_std	Manangba	nmm	Sino-Tibetan,Tibeto-Burman,Himalayish,Tibeto-Kanauri,Tibetic,Tamangic	std	1028	http://wold.livingsources.org/vocabulary/17
nog_std	Nogai	nog	Altaic,Turkic,Western,Aralo-Caspian	std	2000	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=73
noo_std	Nootka	noo	Wakashan,Southern	std	862	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=230
ona_std	Ona	ona	Chon	std	859	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=1
orh_std	Oroqen	orh	Altaic,Tungusic,Northern,Evenki	std	1110	http://wold.livingsources.org/vocabulary/20
ote_std	Otomi, Mezquital	ote	Oto-Manguean,Otopamean,Otomian,Otomi	std	2217	http://wold.livingsources.org/vocabulary/35
oym_std	Wayampi	oym	Tupi,Tupi-Guarani,Subgroup VIII	std	1175	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=292
pbb_std	Páez	pbb	unknown	std	1074	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=244
pbh_std	E’ñapa Woromaipu	pbh	Carib,Northern,Western Guiana	std	1061	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=1
pes_std	Farsi, Western	pes	Indo-European,Indo-Iranian,Iranian,Western,Southwestern,Persian	std	1320	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=214
plg_std	Pilagá	plg	Mataco-Guaicuru,Guaicuruan	std	1178	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=302
plj_std	Polci	plj	Afro-Asiatic,Chadic,West,B,B.3,Zaar Proper	std	1022	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=221
plt_std	Malagasy, Plateau	plt	Austronesian,Malayo-Polynesian,Greater Barito,East,Malagasy	std	1468	http://wold.livingsources.org/vocabulary/28
