IDSKEY	LABEL	Occurrences
21.24	swear	172
21.25	oath	155
21.31	accuse	219
21.32	condemn	173
21.33	convict (vb)	148
21.34	acquit	161
21.35	guilty	176
21.36	innocent	164
21.37	penalty, punishment	216
21.38	fine	155
21.39	prison, jail	214
21.42	murder	228
21.43	adultery	179
21.44	rape	190
21.46	arson	145
21.47	perjury	142
21.51	steal	275
21.52	thief	254
3.11	animal	247
3.12	male (adj)	218
3.13	female (adj)	214
3.15	livestock	209
3.16	pasture	238
3.18	herdsman	208
3.19	stable, stall	236
3.2	cattle (bovine)	193
3.21	bull	197
3.22	ox	167
3.23	cow	177
3.24	calf	210
3.25	sheep	200
3.26	ram	185
3.28	ewe	169
3.29	lamb	192
3.32	boar	210
3.34	sow	195
3.35	pig	228
3.36	goat	174
3.37	he-goat	155
3.38	kid	177
3.41	horse (equine)	191
3.42	stallion	181
3.44	mare	172
3.45	foal, colt	188
3.46	ass, donkey	175
3.47	mule	151
3.5	fowl	184
3.52	cock, rooster	211
3.54	hen	215
3.55	chicken	220
3.56	goose	154
3.57	duck	229
3.58	nest	242
3.581	bird	247
3.582	seagull	153
3.583	heron	212
3.584	eagle	204
3.585	hawk	244
3.586	vulture	195
3.591	bat	231
3.592	parrot	231
3.593	crow	188
3.594	dove	249
3.596	owl	288
3.61	dog	262
3.614	rabbit	210
3.62	cat	224
3.622	opossum	101
3.63	mouse, rat	348
3.65	fish	248
3.652	fin (dorsal)	169
3.653	fishscale	192
3.654	gill	150
3.655	shell	226
3.661	shark	137
3.662	porpoise, dolphin	128
3.663	whale	138
3.664	stingray	142
3.665	freshwater eel	148
3.71	wolf	181
3.72	lion	192
3.73	bear	163
3.74	fox	198
3.75	deer	265
3.76	monkey	235
3.77	elephant	148
3.78	camel	134
3.81	insect	179
3.811	louse	241
3.812	nit (louse egg)	197
3.813	flea	225
3.814	centipede	185
3.815	scorpion	210
3.816	cockroach	208
3.817	ant	250
3.818	spider	240
3.819	spider web	219
3.82	bee	256
3.821	beeswax	199
3.822	beehive	198
3.823	wasp	244
3.83	fly	243
3.831	sandfly (midge), gnat	250
3.832	mosquito	246
3.84	worm	282
3.85	snake	256
3.91	firefly	186
3.92	butterfly	235
3.93	grasshopper	212
3.94	snail	241
3.95	frog	248
3.96	lizard	263
3.97	crocodile, alligator	221
3.98	turtle	247
4.11	body	271
4.12	skin, hide	329
4.13	flesh	244
4.14	hair (head)	279
4.142	beard	235
4.144	body hair	225
4.145	pubic hair	189
4.146	dandruff	191
4.15	blood	251
4.151	vein, artery	267
4.16	bone	237
4.162	rib	244
4.17	horn	234
4.18	tail	264
4.19	back	267
4.191	spine	245
4.2	head	263
4.201	side of head, temple	177
4.202	skull	252
4.203	brain	256
4.204	face	282
4.205	forehead	244
4.207	jaw	251
4.208	cheek	244
4.209	chin	226
4.21	eye	240
4.212	eyebrow	235
4.213	eyelid	218
4.214	eyelash	235
4.215	blink	238
4.22	ear	240
4.221	earlobe	143
4.222	earwax	173
4.23	nose	238
4.231	nostril	222
4.232	mucus (nasal)	262
4.24	mouth	258
4.241	beak	231
4.25	lip	245
4.26	tongue	235
4.27	tooth	247
4.271	gums	211
4.272	molartooth	211
4.28	neck	251
4.281	nape of neck	234
4.29	throat	283
4.3	shoulder	255
4.301	shoulderblade	204
4.302	collarbone	182
4.31	arm	260
4.312	armpit	239
4.32	elbow	245
4.321	wrist	202
4.33	hand	250
4.331	palm of hand	247
4.34	finger	229
4.342	thumb	219
4.344	fingernail	231
4.345	claw	237
4.35	leg	256
4.351	thigh	248
4.352	calf of leg	208
4.36	knee	251
4.37	foot	256
4.371	ankle	241
4.372	heel	230
4.374	footprint	226
4.38	toe	229
4.392	wing	236
4.393	feather	261
4.4	chest	269
4.41	breast (of woman)	275
4.412	nipple, teat	251
4.42	udder	209
4.43	navel	239
4.44	heart	256
4.441	lung	225
4.45	liver	235
4.451	kidney	228
4.452	spleen	172
4.46	stomach	310
4.461	intestines, guts	273
4.462	waist	228
4.463	hip	259
4.464	buttocks	292
4.47	womb	247
4.49	testicle	256
4.492	penis	303
4.51	breathe, breath	320
4.52	yawn, gape	237
4.521	hiccough	218
4.53	cough	243
4.54	sneeze	231
4.55	perspire	246
4.56	spit	302
4.57	vomit	290
4.58	bite	277
4.59	lick	238
4.591	dribble	208
4.61	sleep	280
4.612	snore	232
4.62	dream	275
4.63	wake up	283
4.64	break wind	241
4.65	urinate	270
4.66	defecate	299
4.67	have sexual intercourse	272
4.68	shiver	275
4.69	bathe	260
4.71	beget (of father)	189
4.72	born (to be)	264
4.73	pregnant	282
4.732	conceive	187
4.74	live, living, life	416
4.75	die, dead	413
4.751	drowned	241
4.76	kill	282
4.77	corpse	261
4.78	bury (the dead)	261
4.79	grave, tomb	255
